# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    5.591182365    8.835098273    8.835097710    8.835097087
    5.651302605    8.553308818    8.553308669    8.553307765
    5.711422846    8.406863373    8.406863322    8.406862760
    5.771543086    8.253296752    8.253296743    8.253297012
    5.831663327    8.234678679    8.234678661    8.234679691
    5.891783567    8.008436566    8.008436516    8.008437695
    5.951903808    7.362702295    7.362702239    7.362703131
    6.012024048    6.746736009    6.746735579    6.746736648
    6.072144289    6.405680450    6.405679450    6.405680899
    6.132264529    6.176035558    6.176034400    6.176035965
    6.192384770    5.931430814    5.931429763    5.931431508
    6.252505010    5.748709414    5.748708443    5.748710406
    6.312625251    5.693218736    5.693217740    5.693219709
    6.372745491    5.519826063    5.519824962    5.519827007
    6.432865731    5.162728326    5.162726947    5.162729145
    6.492985972    4.844986110    4.844984281    4.844986703
    6.553106212    4.728815845    4.728813441    4.728816361
    6.613226453    4.608415221    4.608412125    4.608415600
    6.673346693    4.357221054    4.357217806    4.357221410
    6.733466934    4.116844370    4.116841157    4.116844640
    6.793587174    4.038404359    4.038400965    4.038404437
    6.853707415    4.012442728    4.012439203    4.012442664
    6.913827655    3.883426676    3.883423040    3.883426657
    6.973947896    3.726956206    3.726952441    3.726956259
    7.034068136    3.580328072    3.580323885    3.580328039
    7.094188377    3.453465626    3.453460611    3.453465588
    7.154308617    3.313194588    3.313188548    3.313194455
    7.214428858    3.169336280    3.169329373    3.169335933
    7.274549098    3.053479082    3.053471548    3.053478572
    7.334669339    3.005234699    3.005226657    3.005234087
    7.394789579    2.945160960    2.945152645    2.945160425
    7.454909820    2.818222981    2.818214561    2.818223065
    7.515030060    2.692032488    2.692023590    2.692033466
    7.575150301    2.589244557    2.589234752    2.589246123
    7.635270541    2.490160723    2.490149656    2.490162526
    7.695390782    2.413688202    2.413675546    2.413690317
    7.755511022    2.360742717    2.360728184    2.360745337
    7.815631263    2.316868555    2.316851493    2.316871564
    7.875751503    2.254761488    2.254741051    2.254764757
    7.935871743    2.127144505    2.127119855    2.127148321
    7.995991984    1.968499271    1.968469505    1.968504159
    8.056112224    1.846322335    1.846286130    1.846329046
    8.116232465    1.814674670    1.814629669    1.814684154
    8.176352705    1.837163295    1.837106322    1.837175748
    8.236472946    1.845149339    1.845075726    1.845164433
    8.296593186    1.832194983    1.832095303    1.832214690
    8.356713427    1.754829155    1.754686230    1.754855636
    8.416833667    1.626877078    1.626658973    1.626912923
    8.476953908    1.511575414    1.511213730    1.511630018
    8.537074148    1.420732215    1.420082979    1.420826037
    8.597194389    1.368595579    1.367502676    1.368751246
    8.657314629    1.385185968    1.384059103    1.385346631
    8.717434870    1.416013569    1.415327707    1.416112106
    8.777555110    1.406224325    1.405843462    1.406278799
    8.837675351    1.344391271    1.344163149    1.344423102
    8.897795591    1.244957974    1.244809182    1.244977428
    8.957915832    1.152201700    1.152097497    1.152213458
    9.018036072    1.090210121    1.090132479    1.090216759
    9.078156313    1.053593920    1.053532993    1.053596422
    9.138276553    1.042552272    1.042503258    1.042552412
    9.198396794    1.048346288    1.048307193    1.048347072
    9.258517034    1.056273633    1.056241849    1.056274767
    9.318637275    1.041065666    1.041038814    1.041066137
    9.378757515    0.993416142    0.993392197    0.993415137
    9.438877756    0.927917098    0.927894809    0.927914172
    9.498997996    0.869622467    0.869603042    0.869619830
    9.559118236    0.841499124    0.841483107    0.841498031
    9.619238477    0.826783543    0.826770029    0.826783380
    9.679358717    0.818043179    0.818031444    0.818043481
    9.739478958    0.815352352    0.815341866    0.815352823
    9.799599198    0.809125472    0.809115938    0.809126138
    9.859719439    0.795413443    0.795404784    0.795414261
    9.919839679    0.759388279    0.759380451    0.759389162
    9.979959920    0.717365333    0.717358229    0.717366211
   10.040080160    0.689998245    0.689991655    0.689998876
   10.100200401    0.672607923    0.672601777    0.672608301
   10.160320641    0.664507417    0.664501734    0.664507769
   10.220440882    0.656947620    0.656942381    0.656948078
   10.280561122    0.647253523    0.647248684    0.647254156
   10.340681363    0.642622735    0.642618265    0.642623458
   10.400801603    0.636452762    0.636448732    0.636453397
   10.460921844    0.620103537    0.620099907    0.620104055
   10.521042084    0.586898853    0.586895376    0.586899387
   10.581162325    0.550732643    0.550729233    0.550733202
   10.641282565    0.531290634    0.531287307    0.531291169
   10.701402806    0.531919607    0.531916472    0.531920227
   10.761523046    0.537928313    0.537925407    0.537929028
   10.821643287    0.531378527    0.531375720    0.531379010
   10.881763527    0.512134725    0.512131880    0.512134644
   10.941883768    0.490829677    0.490826712    0.490829075
   11.002004008    0.466776593    0.466773612    0.466776011
   11.062124248    0.443599069    0.443596089    0.443598741
   11.122244489    0.425629680    0.425626778    0.425629555
   11.182364729    0.411625987    0.411623272    0.411626138
   11.242484970    0.405188246    0.405185579    0.405188605
   11.302605210    0.405312761    0.405309925    0.405313228
   11.362725451    0.402796402    0.402793351    0.402797006
   11.422845691    0.401333389    0.401330410    0.401334080
   11.482965932    0.391469117    0.391466338    0.391469531
   11.543086172    0.372237409    0.372234547    0.372237597
   11.603206413    0.354569427    0.354566321    0.354569693
   11.663326653    0.345696420    0.345693123    0.345696776
   11.723446894    0.336064721    0.336061205    0.336065187
   11.783567134    0.329926759    0.329922982    0.329927265
   11.843687375    0.332025140    0.332020981    0.332025553
   11.903807615    0.331663648    0.331658964    0.331664023
   11.963927856    0.322460295    0.322455148    0.322460722
   12.024048096    0.311779408    0.311773926    0.311780039
   12.084168337    0.299424262    0.299417969    0.299424937
   12.144288577    0.283152232    0.283143947    0.283153016
   12.204408818    0.266101315    0.266090247    0.266102578
   12.264529058    0.249219511    0.249205010    0.249221322
