# omega (eV)     <Re(Eps)>     <Im(Eps)>
17.31462926    -0.00369129    0.02094166
17.37474950    0.00446868    0.01998358
17.43486974    0.01266683    0.01915184
17.49498998    0.02070287    0.01840868
17.55511022    0.02864513    0.01771053
17.61523046    0.03641763    0.01702085
17.67535070    0.04411724    0.01629495
17.73547094    0.05176262    0.01553990
17.79559118    0.05941612    0.01481181
17.85571142    0.06703533    0.01416102
17.91583166    0.07458198    0.01360784
17.97595190    0.08202413    0.01309554
18.03607214    0.08941010    0.01263888
18.09619238    0.09671040    0.01226491
18.15631263    0.10389754    0.01196514
18.21643287    0.11095710    0.01171428
18.27655311    0.11789567    0.01149345
18.33667335    0.12472182    0.01129316
18.39679359    0.13144046    0.01111074
18.45691383    0.13805472    0.01093923
18.51703407    0.14457304    0.01077551
18.57715431    0.15099911    0.01062025
18.63727455    0.15733550    0.01047205
18.69739479    0.16358526    0.01032961
18.75751503    0.16975130    0.01019208
18.81763527    0.17583628    0.01005887
18.87775551    0.18184258    0.00992955
18.93787575    0.18777238    0.00980378
18.99799599    0.19362771    0.00968128
19.05811623    0.19941043    0.00956182
19.11823647    0.20512230    0.00944520
19.17835671    0.21076495    0.00933125
19.23847695    0.21633993    0.00921982
19.29859719    0.22184873    0.00911080
19.35871743    0.22729272    0.00900405
19.41883767    0.23267326    0.00889948
19.47895792    0.23799160    0.00879699
19.53907816    0.24324898    0.00869650
19.59919840    0.24844657    0.00859792
19.65931864    0.25358549    0.00850119
19.71943888    0.25866683    0.00840625
19.77955912    0.26369164    0.00831302
19.83967936    0.26866093    0.00822145
19.89979960    0.27357569    0.00813149
19.95991984    0.27843686    0.00804309
20.02004008    0.28324536    0.00795619
20.08016032    0.28800209    0.00787076
20.14028056    0.29270791    0.00778675
20.20040080    0.29736366    0.00770413
20.26052104    0.30197017    0.00762285
20.32064128    0.30652822    0.00754288
20.38076152    0.31103860    0.00746418
20.44088176    0.31550206    0.00738673
20.50100200    0.31991934    0.00731049
20.56112224    0.32429115    0.00723542
20.62124248    0.32861820    0.00716151
20.68136272    0.33290117    0.00708873
20.74148297    0.33714072    0.00701704
20.80160321    0.34133751    0.00694642
20.86172345    0.34549218    0.00687686
20.92184369    0.34960535    0.00680832
20.98196393    0.35367763    0.00674078
21.04208417    0.35770960    0.00667422
21.10220441    0.36170187    0.00660862
21.16232465    0.36565499    0.00654396
21.22244489    0.36956953    0.00648022
21.28256513    0.37344602    0.00641738
21.34268537    0.37728502    0.00635542
21.40280561    0.38108703    0.00629433
21.46292585    0.38485258    0.00623408
21.52304609    0.38858217    0.00617467
21.58316633    0.39227629    0.00611606
21.64328657    0.39593542    0.00605825
21.70340681    0.39956005    0.00600123
21.76352705    0.40315063    0.00594497
21.82364730    0.40670763    0.00588947
21.88376754    0.41023148    0.00583470
21.94388778    0.41372264    0.00578066
22.00400802    0.41718153    0.00572733
22.06412826    0.42060858    0.00567470
22.12424850    0.42400419    0.00562275
22.18436874    0.42736879    0.00557148
22.24448898    0.43070277    0.00552087
22.30460922    0.43400652    0.00547091
22.36472946    0.43728043    0.00542158
22.42484970    0.44052489    0.00537289
22.48496994    0.44374026    0.00532481
22.54509018    0.44692691    0.00527733
22.60521042    0.45008521    0.00523045
22.66533066    0.45321550    0.00518416
22.72545090    0.45631814    0.00513844
22.78557114    0.45939347    0.00509328
22.84569138    0.46244182    0.00504868
22.90581162    0.46546353    0.00500463
22.96593186    0.46845893    0.00496111
23.02605210    0.47142832    0.00491813
23.08617235    0.47437203    0.00487566
23.14629259    0.47729038    0.00483371
23.20641283    0.48018365    0.00479226
23.26653307    0.48305216    0.00475130
23.32665331    0.48589619    0.00471083
23.38677355    0.48871605    0.00467084
23.44689379    0.49151201    0.00463133
23.50701403    0.49428435    0.00459227
23.56713427    0.49703336    0.00455368
23.62725451    0.49975931    0.00451553
23.68737475    0.50246246    0.00447783
23.74749499    0.50514308    0.00444057
23.80761523    0.50780143    0.00440373
23.86773547    0.51043777    0.00436732
23.92785571    0.51305234    0.00433132
23.98797595    0.51564540    0.00429574
24.04809619    0.51821719    0.00426056
24.10821643    0.52076795    0.00422578
24.16833667    0.52329793    0.00419139
24.22845691    0.52580735    0.00415738
24.28857715    0.52829644    0.00412376
24.34869739    0.53076543    0.00409051
24.40881763    0.53321456    0.00405763
24.46893788    0.53564402    0.00402512
24.52905812    0.53805405    0.00399297
24.58917836    0.54044486    0.00396117
24.64929860    0.54281666    0.00392971
24.70941884    0.54516966    0.00389861
24.76953908    0.54750406    0.00386784
24.82965932    0.54982006    0.00383740
24.88977956    0.55211787    0.00380729
24.94989980    0.55439767    0.00377751
25.01002004    0.55665967    0.00374805
25.07014028    0.55890406    0.00371890
25.13026052    0.56113102    0.00369007
25.19038076    0.56334074    0.00366154
25.25050100    0.56553340    0.00363332
25.31062124    0.56770918    0.00360539
25.37074148    0.56986827    0.00357775
25.43086172    0.57201083    0.00355041
25.49098196    0.57413704    0.00352336
25.55110220    0.57624707    0.00349658
25.61122244    0.57834109    0.00347009
25.67134268    0.58041927    0.00344387
25.73146293    0.58248177    0.00341792
25.79158317    0.58452874    0.00339224
25.85170341    0.58656036    0.00336682
25.91182365    0.58857678    0.00334166
25.97194389    0.59057816    0.00331676
26.03206413    0.59256464    0.00329211
26.09218437    0.59453638    0.00326772
26.15230461    0.59649354    0.00324357
26.21242485    0.59843624    0.00321966
26.27254509    0.60036465    0.00319600
26.33266533    0.60227891    0.00317257
26.39278557    0.60417915    0.00314938
26.45290581    0.60606552    0.00312641
26.51302605    0.60793816    0.00310368
26.57314629    0.60979720    0.00308117
26.63326653    0.61164277    0.00305889
26.69338677    0.61347502    0.00303682
26.75350701    0.61529407    0.00301497
26.81362726    0.61710004    0.00299334
26.87374749    0.61889308    0.00297192
26.93386773    0.62067330    0.00295070
26.99398798    0.62244083    0.00292969
27.05410822    0.62419579    0.00290889
27.11422846    0.62593831    0.00288829
27.17434870    0.62766850    0.00286788
27.23446894    0.62938649    0.00284767
27.29458918    0.63109238    0.00282766
27.35470942    0.63278630    0.00280784
27.41482966    0.63446837    0.00278820
27.47494990    0.63613868    0.00276876
27.53507014    0.63779736    0.00274949
27.59519038    0.63944452    0.00273041
27.65531062    0.64108026    0.00271151
27.71543086    0.64270469    0.00269279
27.77555110    0.64431792    0.00267424
27.83567134    0.64592006    0.00265587
27.89579158    0.64751120    0.00263767
27.95591182    0.64909144    0.00261963
28.01603206    0.65066090    0.00260177
28.07615231    0.65221967    0.00258407
28.13627255    0.65376785    0.00256653
28.19639279    0.65530554    0.00254916
28.25651303    0.65683283    0.00253194
28.31663327    0.65834981    0.00251489
28.37675351    0.65985659    0.00249798
28.43687375    0.66135326    0.00248124
28.49699399    0.66283991    0.00246464
28.55711423    0.66431662    0.00244820
28.61723447    0.66578349    0.00243190
28.67735471    0.66724062    0.00241575
28.73747495    0.66868807    0.00239975
28.79759519    0.67012596    0.00238389
28.85771543    0.67155435    0.00236817
28.91783567    0.67297333    0.00235260
28.97795591    0.67438299    0.00233716
29.03807615    0.67578341    0.00232186
29.09819639    0.67717468    0.00230669
29.15831663    0.67855687    0.00229166
29.21843687    0.67993006    0.00227676
29.27855711    0.68129434    0.00226199
29.33867736    0.68264978    0.00224736
29.39879760    0.68399645    0.00223285
29.45891784    0.68533445    0.00221847
29.51903808    0.68666383    0.00220421
29.57915832    0.68798469    0.00219008
29.63927856    0.68929708    0.00217607
29.69939880    0.69060109    0.00216218
29.75951904    0.69189678    0.00214841
29.81963928    0.69318423    0.00213476
29.87975952    0.69446352    0.00212122
29.93987976    0.69573470    0.00210781
30.00000000    0.69699785    0.00209450

