# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    4.509018036    7.192371725    7.192346288    7.192375272
    4.569138277    7.104887581    7.104862280    7.104891108
    4.629258517    7.018881208    7.018856044    7.018884716
    4.689378758    6.934332218    6.934307191    6.934335706
    4.749498998    6.851219912    6.851195022    6.851223380
    4.809619238    6.769523342    6.769498589    6.769526790
    4.869739479    6.689221363    6.689196748    6.689224792
    4.929859719    6.610292686    6.610268208    6.610296095
    4.989979960    6.532715919    6.532691579    6.532719308
    5.050100200    6.456469614    6.456445411    6.456472983
    5.110220441    6.381532302    6.381508237    6.381535652
    5.170340681    6.307882532    6.307858605    6.307885863
    5.230460922    6.235498900    6.235475109    6.235502210
    5.290581162    6.164360076    6.164336423    6.164363367
    5.350701403    6.094444838    6.094421323    6.094448110
    5.410821643    6.025732089    6.025708711    6.025735341
    5.470941884    5.958200882    5.958177640    5.958204114
    5.531062124    5.891830437    5.891807332    5.891833650
    5.591182365    5.826600163    5.826577195    5.826603356
    5.651302605    5.762489668    5.762466836    5.762492842
    5.711422846    5.699478778    5.699456082    5.699481932
    5.771543086    5.637547544    5.637524985    5.637550680
    5.831663327    5.576676260    5.576653836    5.576679376
    5.891783567    5.516845464    5.516823176    5.516848561
    5.951903808    5.458035954    5.458013800    5.458039031
    6.012024048    5.400228787    5.400206768    5.400231846
    6.072144289    5.343405295    5.343383410    5.343408334
    6.132264529    5.287547079    5.287525328    5.287550100
    6.192384770    5.232636022    5.232614405    5.232639024
    6.252505010    5.178654288    5.178632804    5.178657271
    6.312625251    5.125584325    5.125562973    5.125587289
    6.372745491    5.073408865    5.073387645    5.073411810
    6.432865731    5.022110930    5.022089842    5.022113857
    6.492985972    4.971673828    4.971652872    4.971676737
    6.553106212    4.922081156    4.922060330    4.922084046
    6.613226453    4.873316797    4.873296101    4.873319668
    6.673346693    4.825364920    4.825344354    4.825367773
    6.733466934    4.778209980    4.778189543    4.778212814
    6.793587174    4.731836715    4.731816407    4.731839531
    6.853707415    4.686230145    4.686209965    4.686232943
    6.913827655    4.641375569    4.641355517    4.641378349
    6.973947896    4.597258561    4.597238637    4.597261324
    7.034068136    4.553864973    4.553845174    4.553867718
    7.094188377    4.511180923    4.511161251    4.511183650
    7.154308617    4.469192801    4.469173254    4.469195510
    7.214428858    4.427887259    4.427867836    4.427889950
    7.274549098    4.387251210    4.387231912    4.387253885
    7.334669339    4.347271828    4.347252653    4.347274485
    7.394789579    4.307936536    4.307917484    4.307939176
    7.454909820    4.269233012    4.269214082    4.269235635
    7.515030060    4.231149177    4.231130368    4.231151782
    7.575150301    4.193673195    4.193654508    4.193675784
    7.635270541    4.156793471    4.156774903    4.156796042
    7.695390782    4.120498641    4.120480193    4.120501196
    7.755511022    4.084777575    4.084759247    4.084780113
    7.815631263    4.049619368    4.049601158    4.049621890
    7.875751503    4.015013338    4.014995246    4.015015843
    7.935871743    3.980949022    3.980931046    3.980951510
    7.995991984    3.947416170    3.947398311    3.947418643
    8.056112224    3.914404746    3.914387002    3.914407202
    8.116232465    3.881904917    3.881887288    3.881907357
    8.176352705    3.849907056    3.849889541    3.849909480
    8.236472946    3.818401733    3.818384332    3.818404141
    8.296593186    3.787379712    3.787362424    3.787382104
    8.356713427    3.756831952    3.756814776    3.756834328
    8.416833667    3.726749595    3.726732531    3.726751956
    8.476953908    3.697123970    3.697107016    3.697126315
    8.537074148    3.667946583    3.667929739    3.667948913
    8.597194389    3.639209119    3.639192384    3.639211433
    8.657314629    3.610903433    3.610886807    3.610905732
    8.717434870    3.583021550    3.583005033    3.583023834
    8.777555110    3.555555662    3.555539252    3.555557931
    8.837675351    3.528498121    3.528481817    3.528500375
    8.897795591    3.501841438    3.501825240    3.501843677
    8.957915832    3.475578280    3.475562187    3.475580505
    9.018036072    3.449701465    3.449685477    3.449703676
    9.078156313    3.424203962    3.424188077    3.424206157
    9.138276553    3.399078882    3.399063101    3.399081063
    9.198396794    3.374319480    3.374303802    3.374321647
    9.258517034    3.349919153    3.349903576    3.349921306
    9.318637275    3.325871430    3.325855954    3.325873568
    9.378757515    3.302169976    3.302154600    3.302172100
    9.438877756    3.278808586    3.278793310    3.278810696
    9.498997996    3.255781182    3.255766005    3.255783279
    9.559118236    3.233081812    3.233066734    3.233083896
    9.619238477    3.210704646    3.210689665    3.210706716
    9.679358717    3.188643973    3.188629088    3.188646029
    9.739478958    3.166894198    3.166879410    3.166896240
    9.799599198    3.145449841    3.145435149    3.145451870
    9.859719439    3.124305536    3.124290938    3.124307552
    9.919839679    3.103456022    3.103441519    3.103458025
    9.979959920    3.082896149    3.082881739    3.082898139
   10.040080160    3.062620869    3.062606552    3.062622846
   10.100200401    3.042625237    3.042611013    3.042627202
   10.160320641    3.022904409    3.022890276    3.022906361
   10.220440882    3.003453638    3.003439595    3.003455576
   10.280561122    2.984268271    2.984254319    2.984270197
   10.340681363    2.965343751    2.965329889    2.965345665
   10.400801603    2.946675613    2.946661839    2.946677514
   10.460921844    2.928259478    2.928245792    2.928261367
   10.521042084    2.910091057    2.910077459    2.910092934
   10.581162325    2.892166148    2.892152637    2.892168012
   10.641282565    2.874480629    2.874467204    2.874482481
   10.701402806    2.857030462    2.857017122    2.857032303
   10.761523046    2.839811689    2.839798435    2.839813518
   10.821643287    2.822820430    2.822807260    2.822822247
   10.881763527    2.806052882    2.806039796    2.806054688
   10.941883768    2.789505316    2.789492313    2.789507110
   11.002004008    2.773174078    2.773161157    2.773175860
   11.062124248    2.757055582    2.757042744    2.757057354
