# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    2.705410822   36.785967725   36.785932602   36.785972984
    2.765531062   35.858565863   35.858530786   35.858571104
    2.825651303   33.931703793   33.931668525   33.931709120
    2.885771543   32.311052993   32.311017532   32.311058348
    2.945891784   31.211985732   31.211950196   31.211990929
    3.006012024   30.278850631   30.278815003   30.278855711
    3.066132265   28.837873954   28.837838215   28.837879021
    3.126252505   27.866829968   27.866794004   27.866835066
    3.186372745   27.718689762   27.718653377   27.718694858
    3.246492986   27.570689497   27.570652692   27.570694515
    3.306613226   27.374341796   27.374304740   27.374346761
    3.366733467   27.163364850   27.163327447   27.163369818
    3.426853707   27.357912213   27.357874344   27.357917301
    3.486973948   27.453213829   27.453175608   27.453218976
    3.547094188   26.648132881   26.648094542   26.648138135
    3.607214429   23.557935924   23.557897472   23.557941352
    3.667334669   17.938235801   17.938197137   17.938241325
    3.727454910   10.073808741   10.073770082   10.073814391
    3.787575150    0.659922840    0.659884087    0.659928545
    3.847695391   -7.112848941   -7.112888189   -7.112843526
    3.907815631  -10.837633337  -10.837673060  -10.837628198
    3.967935872  -12.895699316  -12.895739362  -12.895694255
    4.028056112  -12.807898565  -12.807939043  -12.807893511
    4.088176353  -11.649456991  -11.649498127  -11.649451909
    4.148296593  -11.683538730  -11.683580237  -11.683533532
    4.208416834  -12.219033561  -12.219075187  -12.219028019
    4.268537074  -12.033174147  -12.033215837  -12.033168199
    4.328657315  -10.493791516  -10.493833486  -10.493785489
    4.388777555   -8.915851093   -8.915893526   -8.915845021
    4.448897796   -8.688902987   -8.688945684   -8.688896467
    4.509018036  -10.244704829  -10.244747681  -10.244698088
    4.569138277  -12.289165150  -12.289208265  -12.289158592
    4.629258517  -13.238576912  -13.238620470  -13.238570516
    4.689378758  -12.965051289  -12.965095347  -12.965045021
    4.749498998  -12.271257479  -12.271302201  -12.271251319
    4.809619238  -11.526702278  -11.526747744  -11.526696238
    4.869739479  -11.327748541  -11.327794336  -11.327742393
    4.929859719  -11.748735762  -11.748781737  -11.748729405
    4.989979960  -12.238454060  -12.238500323  -12.238447466
    5.050100200  -12.581031756  -12.581078160  -12.581024776
    5.110220441  -12.288519607  -12.288566278  -12.288512338
