# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    3.186372745   21.771399893   21.771386906   21.771269260
    3.246492986   32.204685937   32.204857269   32.204752426
    3.306613226   42.613138395   42.613774882   42.613811371
    3.366733467   57.406559734   57.407286648   57.407093098
    3.426853707   81.241254985   81.241496308   81.241238872
    3.486973948   94.415461472   94.414901429   94.415283222
    3.547094188   85.853583359   85.853168084   85.853850797
    3.607214429   70.242892588   70.242668570   70.243066325
    3.667334669   69.890338736   69.890178293   69.890448749
    3.727454910   61.397553717   61.397330456   61.398032491
    3.787575150   39.476322797   39.476109834   39.476728968
    3.847695391   24.655829026   24.655692220   24.656043588
    3.907815631   17.322140796   17.322037171   17.322244538
    3.967935872   13.874502087   13.874418641   13.874565435
    4.028056112   11.369145789   11.369095993   11.369216513
    4.088176353    9.125313862    9.125270289    9.125357964
    4.148296593    7.789984403    7.789947396    7.790007934
    4.208416834    7.385490368    7.385454103    7.385497345
    4.268537074    7.836026856    7.835979045    7.836010368
    4.328657315    9.157817903    9.157740162    9.157763445
    4.388777555   12.134353260   12.134238468   12.134262910
    4.448897796   16.620990762   16.620944188   16.621044793
    4.509018036   19.468689672   19.468746892   19.468911835
    4.569138277   18.265161326   18.265162696   18.265274459
    4.629258517   15.165777067   15.165768170   15.165876288
    4.689378758   14.609541286   14.609545129   14.609680986
    4.749498998   17.273938458   17.273888906   17.274031850
    4.809619238   17.544278311   17.544077080   17.544099955
    4.869739479   16.081681185   16.081509416   16.081467369
    4.929859719   15.406102766   15.405993418   15.405937148
    4.989979960   13.362004278   13.361983450   13.361955801
    5.050100200   11.738755668   11.738720291   11.738688750
    5.110220441   10.310780812   10.310723778   10.310699705
    5.170340681   10.353854726   10.353816461   10.353832051
    5.230460922   13.197254202   13.197230677   13.197298702
    5.290581162   19.225853405   19.225861486   19.225964133
    5.350701403   23.639423806   23.639502168   23.639530850
    5.410821643   23.737618532   23.737672562   23.737645428
    5.470941884   22.229812009   22.229742496   22.229665937
    5.531062124   18.244292998   18.244155343   18.244065822
    5.591182365   14.765979011   14.765889430   14.765796949
    5.651302605   13.924120868   13.924049942   13.923943094
    5.711422846   13.964049945   13.964006651   13.963846090
    5.771543086   13.224720842   13.224743087   13.224566304
    5.831663327   10.711652386   10.711696249   10.711559596
    5.891783567    9.261471792    9.261538543    9.261407032
    5.951903808    9.585250368    9.585390370    9.585262970
    6.012024048    9.565502618    9.565687368    9.565563422
    6.072144289    8.978673449    8.978824889    8.978686079
    6.132264529    9.087039107    9.087177191    9.087036448
    6.192384770    8.311106813    8.311249256    8.311119028
    6.252505010    6.304404487    6.304516957    6.304415582
    6.312625251    5.130159489    5.130231216    5.130157443
    6.372745491    4.934311103    4.934363567    4.934283438
    6.432865731    4.259335701    4.259381403    4.259295464
    6.492985972    3.130479605    3.130515027    3.130455945
    6.553106212    2.357659020    2.357677054    2.357639329
    6.613226453    1.987700097    1.987704676    1.987678246
    6.673346693    1.891206696    1.891198474    1.891178310
    6.733466934    2.063088510    2.063061960    2.063046284
    6.793587174    2.624507422    2.624448818    2.624438210
    6.853707415    3.490077631    3.489984248    3.489974984
    6.913827655    3.577833003    3.577775072    3.577733965
    6.973947896    2.715389605    2.715377897    2.715322638
    7.034068136    2.160369590    2.160374184    2.160324463
    7.094188377    2.134103076    2.134126114    2.134071339
    7.154308617    2.623644567    2.623694709    2.623616281
    7.214428858    3.444335873    3.444399651    3.444271883
    7.274549098    3.604486300    3.604523432    3.604373714
    7.334669339    3.231507203    3.231524342    3.231400742
    7.394789579    2.768755586    2.768766117    2.768653494
    7.454909820    2.583933810    2.583925010    2.583770881
    7.515030060    2.965259591    2.965198155    2.964972656
