# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    5.230460922   11.782893297   11.782891836   11.782891634
    5.290581162   11.913070894   11.913069325   11.913069255
    5.350701403   12.046951081   12.046949442   12.046949302
    5.410821643   11.539837276   11.539835616   11.539835351
    5.470941884   10.478169172   10.478167598   10.478167283
    5.531062124    9.450494953    9.450493511    9.450493326
    5.591182365    8.834972008    8.834970705    8.834970626
    5.651302605    8.553260120    8.553258659    8.553258651
    5.711422846    8.406781253    8.406779565    8.406779692
    5.771543086    8.253202184    8.253200209    8.253200394
    5.831663327    8.234613208    8.234610953    8.234610865
    5.891783567    8.008252469    8.008249742    8.008249547
    5.951903808    7.362476634    7.362473315    7.362473446
    6.012024048    6.746585045    6.746581630    6.746581989
    6.072144289    6.405611389    6.405608422    6.405608655
    6.132264529    6.175950109    6.175947420    6.175947539
    6.192384770    5.931325079    5.931322567    5.931322512
    6.252505010    5.748624136    5.748621699    5.748621419
    6.312625251    5.693137708    5.693135020    5.693134674
    6.372745491    5.519708194    5.519705186    5.519704967
    6.432865731    5.162621958    5.162618901    5.162618791
    6.492985972    4.844929087    4.844925919    4.844925887
    6.553106212    4.728789877    4.728786445    4.728786568
    6.613226453    4.608344520    4.608341080    4.608341319
    6.673346693    4.357120730    4.357117184    4.357117485
    6.733466934    4.116776288    4.116772179    4.116772620
    6.793587174    4.038368363    4.038363598    4.038364209
    6.853707415    4.012397146    4.012391840    4.012392758
    6.913827655    3.883370317    3.883364618    3.883365807
    6.973947896    3.726906225    3.726900122    3.726901398
    7.034068136    3.580283733    3.580277223    3.580278522
    7.094188377    3.453418493    3.453411597    3.453412858
    7.154308617    3.313143483    3.313136356    3.313137356
    7.214428858    3.169283445    3.169275995    3.169276740
    7.274549098    3.053438215    3.053430152    3.053430793
    7.334669339    3.005194083    3.005185242    3.005185937
    7.394789579    2.945118769    2.945109125    2.945110009
    7.454909820    2.818179672    2.818169022    2.818170162
    7.515030060    2.691999054    2.691987289    2.691988611
    7.575150301    2.589210971    2.589197943    2.589199368
    7.635270541    2.490128206    2.490113607    2.490115171
    7.695390782    2.413660143    2.413643565    2.413645462
    7.755511022    2.360714070    2.360695136    2.360697358
    7.815631263    2.316840635    2.316818904    2.316821401
    7.875751503    2.254733344    2.254708103    2.254711039
    7.935871743    2.127118593    2.127088839    2.127092376
    7.995991984    1.968471421    1.968435765    1.968439970
    8.056112224    1.846308140    1.846264718    1.846269775
    8.116232465    1.814678947    1.814625139    1.814631446
    8.176352705    1.837174806    1.837106583    1.837114621
    8.236472946    1.845165559    1.845076347    1.845086866
    8.296593186    1.832215719    1.832094338    1.832108653
    8.356713427    1.754860866    1.754687292    1.754707749
    8.416833667    1.626942653    1.626677737    1.626708905
    8.476953908    1.511716492    1.511277328    1.511328977
    8.537074148    1.421018440    1.420231067    1.420323660
    8.597194389    1.369102617    1.367777846    1.367933642
    8.657314629    1.385710135    1.384344034    1.384504630
    8.717434870    1.416321062    1.415488744    1.415586556
    8.777555110    1.406378799    1.405916347    1.405970755
    8.837675351    1.344469241    1.344192508    1.344225156
    8.897795591    1.245002250    1.244822250    1.244843513
    8.957915832    1.152227698    1.152102511    1.152117307
    9.018036072    1.090228755    1.090137083    1.090147932
    9.078156313    1.053608801    1.053538878    1.053547158
    9.138276553    1.042558921    1.042503819    1.042510357
    9.198396794    1.048344663    1.048300150    1.048305421
    9.258517034    1.056264963    1.056228346    1.056232667
    9.318637275    1.041052958    1.041022343    1.041025977
    9.378757515    0.993404399    0.993378440    0.993381550
    9.438877756    0.927906707    0.927884454    0.927887115
    9.498997996    0.869615179    0.869595834    0.869598130
    9.559118236    0.841496918    0.841479903    0.841481923
    9.619238477    0.826779568    0.826764489    0.826766294
    9.679358717    0.818035356    0.818021884    0.818023512
    9.739478958    0.815343025    0.815330914    0.815332408
    9.799599198    0.809114780    0.809103807    0.809105170
    9.859719439    0.795398175    0.795388179    0.795389402
    9.919839679    0.759374298    0.759365187    0.759366277
    9.979959920    0.717356781    0.717348457    0.717349421
   10.040080160    0.689994518    0.689986876    0.689987721
   10.100200401    0.672607298    0.672600230    0.672600999
   10.160320641    0.664505658    0.664499087    0.664499815
   10.220440882    0.656940764    0.656934627    0.656935304
   10.280561122    0.647242564    0.647236758    0.647237364
   10.340681363    0.642610985    0.642605508    0.642606031
   10.400801603    0.636441423    0.636436346    0.636436763
   10.460921844    0.620094797    0.620090064    0.620090411
   10.521042084    0.586892471    0.586887923    0.586888292
   10.581162325    0.550726059    0.550721603    0.550722017
   10.641282565    0.531287192    0.531282852    0.531283275
   10.701402806    0.531918765    0.531914600    0.531914984
   10.761523046    0.537924523    0.537920526    0.537920875
   10.821643287    0.531371941    0.531368031    0.531368387
   10.881763527    0.512126340    0.512122514    0.512122887
   10.941883768    0.490821665    0.490817914    0.490818379
   11.002004008    0.466769891    0.466766171    0.466766715
   11.062124248    0.443593198    0.443589482    0.443590055
   11.122244489    0.425625125    0.425621405    0.425622002
   11.182364729    0.411621571    0.411617844    0.411618453
   11.242484970    0.405187611    0.405183879    0.405184448
   11.302605210    0.405313559    0.405309811    0.405310314
   11.362725451    0.402794691    0.402790920    0.402791350
   11.422845691    0.401330349    0.401326553    0.401326917
   11.482965932    0.391464856    0.391460987    0.391461348
   11.543086172    0.372233003    0.372229000    0.372229409
   11.603206413    0.354564680    0.354560453    0.354560907
   11.663326653    0.345692522    0.345688007    0.345688496
   11.723446894    0.336060833    0.336055977    0.336056502
   11.783567134    0.329925509    0.329920299    0.329920838
   11.843687375    0.332025805    0.332020180    0.332020749
   11.903807615    0.331663883    0.331657741    0.331658342
   11.963927856    0.322459560    0.322452698    0.322453349
   12.024048096    0.311776396    0.311768456    0.311769241
   12.084168337    0.299420683    0.299411204    0.299412232
   12.144288577    0.283149429    0.283137934    0.283139254
   12.204408818    0.266100615    0.266086473    0.266088111
   12.264529058    0.249222060    0.249204180    0.249206251
   12.324649299    0.241536570    0.241513090    0.241515840
   12.384769539    0.241461504    0.241429161    0.241432986
   12.444889780    0.246242376    0.246195084    0.246200684
   12.505010020    0.249813188    0.249738578    0.249747407
   12.565130261    0.243941490    0.243812803    0.243828019
   12.625250501    0.232504741    0.232274124    0.232301318
   12.685370741    0.219648163    0.219331386    0.219368692
